Name,Email,Phone,Website
"...","","",""
"Tallassee	3 Freeman Ave. Tallassee, AL 36078	(334) 283-6571	www.tallassee-al.gov	cityclerk@tallassee-al.gov","cityclerk@tallassee-al.gov","(334) 283-6571","www.tallassee-al.gov"
"Tarrant	1604 Pinson Valley Parkway Tarrant, AL 35217	(205) 849-2800	www.cityoftarrant.com	clerk@cityoftarrant.com","clerk@cityoftarrant.com","(205) 849-2800","www.cityoftarrant.com"
"Taylor	1469 South State Highway 605 Taylor, AL 36301	(334) 677-5079		cityclerk@cityoftaylor.org","cityclerk@cityoftaylor.org","(334) 677-5079",""
"Test Company	PO Box 1270 Montgomery, AL 36102-1270	(334) 262-2566	www.almonline.org	almimistest@gmail.com","almimistest@gmail.com","(334) 262-2566","www.almonline.org"
"Thomaston	P. O. Box 276 Thomaston, AL 36783	(334) 627-3434	www.townofthomaston.com	thomastontot@frontiernet.net","thomastontot@frontiernet.net","(334) 627-3434","www.townofthomaston.com"
"Thomasville	P. O. Box 127 Thomasville, AL 36784	(334) 636-5827	www.thomasvilleal.com	ahuckabee@thomasvilleal.com","ahuckabee@thomasvilleal.com","(334) 636-5827","www.thomasvilleal.com"
"Thorsby	P. O. Box 608 Thorsby, AL 35171	(205) 646-3575	www.townofthorsby.org	crystal11@thorsbyal.com","crystal11@thorsbyal.com","(205) 646-3575","www.townofthorsby.org"
"Town Creek	P. O. Box 190 Town Creek, AL 35672	(256) 685-3344		tccityhall@bellsouth.net","tccityhall@bellsouth.net","(256) 685-3344",""
"Toxey	P. O. Box 318 Toxey, AL 36921	(251) 843-5222		townoftoxey@gmail.com","townoftoxey@gmail.com","(251) 843-5222",""
"Trafford	9239 E. Commercial Ave. Trafford, AL 35172	(205) 647-3751		traffordtownof@bellsouth.net","traffordtownof@bellsouth.net","(205) 647-3751",""
"Triana	640 Sixth St. Madison, AL 35756	(256) 772-0151	www.townoftriana.com	ttriana@bellsouth.net","ttriana@bellsouth.net","(256) 772-0151","www.townoftriana.com"
"Trinity	35 Preston Dr. Trinity, AL 35673	(256) 353-2474	www.trinityal.gov/	apatterson@trinityal.gov","apatterson@trinityal.gov","(256) 353-2474","www.trinityal.gov"
"Troy	P. O. Box 549 Troy, AL 36081	(334) 566-0177	www.troyal.gov	shannon.bryan@troyal.gov","shannon.bryan@troyal.gov","(334) 566-0177","www.troyal.gov"
"Trussville	P. O. Box 159 Trussville, AL 35173	(205) 655-7478	www.trussville.org	city@trussville.org","city@trussville.org","(205) 655-7478","www.trussville.org"
"Tuscaloosa	P. O. Box 2089 Tuscaloosa, AL 35403	(205) 248-5010	www.tuscaloosa.com	cityclerk@tuscaloosa.com","cityclerk@tuscaloosa.com","(205) 248-5010","www.tuscaloosa.com"
"Tuscumbia	P. O. Box 29 Tuscumbia, AL 35674	(256) 383-5463	cityoftuscumbia.org	leabraw@cityoftuscumbia.org","leabraw@cityoftuscumbia.org","(256) 383-5463",""
"Tuskegee	P. O. Box 830687 Tuskegee, AL 36083	(334) 720-0500	www.tuskegeealabama.gov	fclark@tuskegeealabama.gov","fclark@tuskegeealabama.gov","(334) 720-0500","www.tuskegeealabama.gov"
"Twin	6125 State Highway 253 Guin, AL 35563	(295) 468-0036		town029@centurytel.net","town029@centurytel.net","(295) 468-0036",""
