Municipality Name,Email,Phone,Website
"Bridgeport	P. O. Box 747 Bridgeport, AL 35740	(256) 495-3892	www.cityofbridgeportalabama.com	bridgeportcit126@bellsouth.net","bridgeportcit126@bellsouth.net","(256) 495-3892","www.cityofbridgeportalabama.com"
"Brighton	3700 Main Street Brighton, AL 35020	(205) 428-9547		cityofbrighton@att.net","cityofbrighton@att.net","(205) 428-9547",""
"Brilliant	P. O. Box 407 Brilliant, AL 35548	(205) 465-2281	www.brilliantal.org	townofbrilliant@gmail.com","townofbrilliant@gmail.com","(205) 465-2281","www.brilliantal.org"
"Brookside	P. O. Box 142 Brookside, AL 35036	(205) 674-9275	www.brooksidealabama.com	dkeedy@townofbrookside.net","dkeedy@townofbrookside.net","(205) 674-9275","www.brooksidealabama.com"
"Brookwood	16048 Highway 216 Brookwood, AL 35444	(205) 556-1300	https://cityofbrookwoodal.gov	lbarger@cityofbrookwoodal.gov","lbarger@cityofbrookwoodal.gov","(205) 556-1300","https://cityofbrookwoodal.gov"
"Brundidge	P. O. Box 638 Brundidge, AL 36010	(334) 735-2385	www.brundidge.org	lindafaust@troycable.net","lindafaust@troycable.net","(334) 735-2385","www.brundidge.org"
"Butler	P. O. Box 455 Butler, AL 36904	(205) 459-3795	www.butleralabama.org	townclerk@butleralabama.org","townclerk@butleralabama.org","(205) 459-3795","www.butleralabama.org"
"Calera	7901 Highway 31 Calera, AL 35040	(205) 668-3500	cityofcalera.org	cpayton@calera.org","cpayton@calera.org","(205) 668-3500",""
"Camden	108 Water St. Camden, AL 36726	(334) 682-4603		camdench@frontiernet.net","camdench@frontiernet.net","(334) 682-4603",""
"Camp Hill	P. O. Box 100 Camp Hill, AL 36850	(256) 896-4148		thetownofcamphill@yahoo.com","thetownofcamphill@yahoo.com","(256) 896-4148",""
"Carbon Hill	P. O. Box 519 Carbon Hill, AL 35549	(205) 924-9961	www.cityofcarbonhill.com	chclerk2011@gmail.com","chclerk2011@gmail.com","(205) 924-9961","www.cityofcarbonhill.com"
"Carolina	P.O. Box 13 Andalusia, AL 36420","","",""
"Carrollton	P. O. Box 169 Carrollton, AL 35447	(205) 367-8711		ebgoodson@yahoo.com","ebgoodson@yahoo.com","(205) 367-8711",""
"Castleberry	P. O. Box 97 Castleberry, AL 36432	(251) 966-2141		syoung4toc1738@yahoo.com","syoung4toc1738@yahoo.com","(251) 966-2141",""
"Cedar Bluff	P. O. Box 38 Cedar Bluff, AL 35959	(256) 779-6121	www.cedarbluff-al.org	jburt@cedarbluffal.org","jburt@cedarbluffal.org","(256) 779-6121","www.cedarbluff-al.org"
"Center Point	2209 Center Point Parkway Center Point, AL 35215	(205) 854-4460	https://www.cityofcenterpoint.org/	cityclerk@centerpointal.org","cityclerk@centerpointal.org","(205) 854-4460","https://www.cityofcenterpoint.org"
"Centre	635 Armory Rd Centre, AL 35960	(256) 927-5222	cityofcentre.org	centreal@tds.net","centreal@tds.net","(256) 927-5222",""
"Centreville	1270 Walnut Street Centreville, AL 35042	(205) 926-4995	www.cityofcentreville.com	megan@cityofcentreville.com","megan@cityofcentreville.com","(205) 926-4995","www.cityofcentreville.com"
"Chatom	P. O. Box 817 Chatom, AL 36518	(251) 847-2580	www.chatom.org	chatomtownhall@gmail.com","chatomtownhall@gmail.com","(251) 847-2580","www.chatom.org"
"Chelsea	P. O. Box 111 Chelsea, AL 35043	(205) 678-8455	www.cityofchelsea.com	cetheredge@cityofchelsea.com","cetheredge@cityofchelsea.com","(205) 678-8455","www.cityofchelsea.com"
"Cherokee	P. O. Box D Cherokee, AL 35616	(256) 359-4959		townhall@cherokeetel.net","townhall@cherokeetel.net","(256) 359-4959",""
"Cherokee Ridge	8 Creekwood Court Cherokee Ridge, AL 35175	(256) 681-0005	www.townofcherokeeridge.com	townofcherokeeridge@gmail.com","townofcherokeeridge@gmail.com","(256) 681-0005","www.townofcherokeeridge.com"
"Chickasaw	224 N. Craft Hwy. Chickasaw, AL 36671	(251) 452-6450	www.cityofchickasaw.org	mross@cityofchickasaw.org","mross@cityofchickasaw.org","(251) 452-6450","www.cityofchickasaw.org"
"Childersburg	201 8th Ave SW Childersburg, AL 35044	(256) 378-5521	www.childersburg.org.	aburnette@childersburg.org","aburnette@childersburg.org","(256) 378-5521","www.childersburg.org"
"Citronelle	19135 S. Main St. Citronelle, AL 36522	(251) 866-7973	www.cityofcitronelle.com	citron365@cityofcitronelle.com","citron365@cityofcitronelle.com","(251) 866-7973","www.cityofcitronelle.com"
"Clanton	P. O. Box 580 Clanton, AL 35046	(205) 755-1105	www.clanton.al.us	sellison@clantonal.gov","sellison@clantonal.gov","(205) 755-1105","www.clanton.al.us"
"Clay	P. O. Box 345 Clay, AL 35048	(205) 680-1223	clayalabama.org	janderton@clayalabama.org","janderton@clayalabama.org","(205) 680-1223",""
"Clayhatchee	1 West Main Street Daleville, AL 36322	(334) 598-4321		clayhatchee1967@gmail.com","clayhatchee1967@gmail.com","(334) 598-4321",""
"Clayton	P. O. Box 385 Clayton, AL 36016	(334) 775-9176		latashakincey@bellsouth.net","latashakincey@bellsouth.net","(334) 775-9176",""
"Cleveland	P. O. Box 186 Cleveland, AL 35049	(205) 274-9640		clevelan@otelco.net","clevelan@otelco.net","(205) 274-9640",""
"Clio	P. O. Box 219 Clio, AL 36017	(334) 397-2723		cityclerk@clioal.com","cityclerk@clioal.com","(334) 397-2723",""
"Coaling	P. O. Box 10 Coaling, AL 35449	(205) 507-0200	www.coalingalabama.com	townofcoaling@yahoo.com","townofcoaling@yahoo.com","(205) 507-0200","www.coalingalabama.com"
"Coffee Springs	P. O. Box 8 Coffee Springs, AL 36318	(334) 684-8181		townofcoffeesprings@gmail.com","townofcoffeesprings@gmail.com","(334) 684-8181",""
"Coffeeville	P. O. Box 10 Coffeeville, AL 36524	(251) 276-3266		townofcoffeeville@msn.com","townofcoffeeville@msn.com","(251) 276-3266",""
"Coker	P. O. Box 278 Coker, AL 35452	(205) 333-8181	www.townofcoker.com	townofcoker@att.net","townofcoker@att.net","(205) 333-8181","www.townofcoker.com"
"Collinsville	P. O. Box 390 Collinsville, AL 35961	(256) 524-2135	www.collinsvillealabama.net	cityclerk@collinsvillealabama.net","cityclerk@collinsvillealabama.net","(256) 524-2135","www.collinsvillealabama.net"
"Colony	65 Byars Road Hanceville, AL 35077	(256) 287-1192	www.co.cullman.al.us/municipalities/colony.html	townofcolonyal@outlook.com","townofcolonyal@outlook.com","(256) 287-1192","www.co.cullman.al.us"
"Columbia	P. O. Box 339 Columbia, AL 36319	(334) 696-4417		columbiatownclerk@centurytel.net","columbiatownclerk@centurytel.net","(334) 696-4417",""
"Columbiana	107 Mildred St. Columbiana, AL 35051	(205) 669-5800	www.cityofcolumbiana.com	ctucker@cityofcolumbiana.com","ctucker@cityofcolumbiana.com","(205) 669-5800","www.cityofcolumbiana.com"
"Coosada	P. O. Box 96 Coosada, AL 36020	(334) 285-3700	www.townofcoosada.com	coosada@elmore.rr.com","coosada@elmore.rr.com","(334) 285-3700","www.townofcoosada.com"
"Cordova	154 Main Street Cordova, AL 35550	(205) 483-9266		clerk@cordovacity.com","clerk@cordovacity.com","(205) 483-9266",""
"Cottonwood	P. O. Box 447 Cottonwood, AL 36320	(334) 691-2671	www.cottonwoodalabama.com	cotwood@graceba.net","cotwood@graceba.net","(334) 691-2671","www.cottonwoodalabama.com"
"County Line	P. O. Box 130 Trafford, AL 35172	(205) 590-1649	mycountyline.org	townofcountyline@mycountyline.org","townofcountyline@mycountyline.org","(205) 590-1649",""
"Courtland	P. O. Box 160 Courtland, AL 35618	(256) 637-2707		vickie@townofcourtland.org","vickie@townofcourtland.org","(256) 637-2707",""
"Cowarts	P. O. Box 69 Cowarts, AL 36321	(334) 792-8920		townofcowarts@graceba.net","townofcowarts@graceba.net","(334) 792-8920",""
"Creola	P. O. Box 490 Creola, AL 36525	(251) 675-8142	www.cityofcreola.org	mbrown@cityofcreola.org","mbrown@cityofcreola.org","(251) 675-8142","www.cityofcreola.org"
"Crossville	P. O. Box 100 Crossville, AL 35962	(256) 528-7121	www.crossvillealabama.com	cvilletownclerk@crossvillealabama.com","cvilletownclerk@crossvillealabama.com","(256) 528-7121","www.crossvillealabama.com"
"Cuba	P. O. Box 385 Cuba, AL 36907	(205) 392-7181		cubaclerk@att.net","cubaclerk@att.net","(205) 392-7181",""
"Cullman	P. O. Box 278 Cullman, AL 35056	(256) 775-7109	www.cullmanal.org	cityhall@cullmanal.gov","cityhall@cullmanal.gov","(256) 775-7109","www.cullmanal.org"
"Cusseta	P. O. Box 104 Cusseta, AL 36852	(334) 742-3620		cussetatownclerk@gmail.com","cussetatownclerk@gmail.com","(334) 742-3620",""
"Dadeville	265 N. Broadnax St. Dadeville, AL 36853	(256) 825-9242	www.cityofdadevilleal.org	deborahjohns125@gmail.com","deborahjohns125@gmail.com","(256) 825-9242","www.cityofdadevilleal.org"
"Daleville	P. O. Box 188 Daleville, AL 36322	(334) 598-2345	www.dalevilleal.com	clerk@dalevilleal.com","clerk@dalevilleal.com","(334) 598-2345","www.dalevilleal.com"
"Daphne	P. O. Box 400 Daphne, AL 36526	(251) 620-1000	www.daphneal.com	cityclerk@daphneal.com","cityclerk@daphneal.com","(251) 620-1000","www.daphneal.com"
"Dauphin Island	1011 Bienville Blvd Dauphin Island, AL 36528	(251) 861-5525	www.townofdauphinisland.org	wsandagger@townofdauphinisland.org","wsandagger@townofdauphinisland.org","(251) 861-5525","www.townofdauphinisland.org"
"Daviston	P. O. Box 26 Daviston, AL 36256	(334) 275-0170		Townofdaviston@gmail.com","Townofdaviston@gmail.com","(334) 275-0170",""
"Dayton	27181 Hwy. 28 Faunsdale, AL 36738	 		wmpoole@bellsouth.net","wmpoole@bellsouth.net","",""
"Deatsville	P. O. Box 220167 Deatsville, AL 36022	(334) 285-9881		sandyray101@aol.com","sandyray101@aol.com","(334) 285-9881",""
"Decatur	P. O. Box 488 Decatur, AL 35602	(256) 341-4500	www.decaturalabamausa.com	mayorsoffice@decatur-al.gov","mayorsoffice@decatur-al.gov","(256) 341-4500","www.decaturalabamausa.com"
"Demopolis	P. O. Box 580 Demopolis, AL 36732	(334) 289-0577	www.demopolisal.gov	sam.gross@demopolisal.gov","sam.gross@demopolisal.gov","(334) 289-0577","www.demopolisal.gov"
"Detroit	P. O. Box 114 Detroit, AL 35552	(205) 273-4294		townofdetroit@centurytel.net","townofdetroit@centurytel.net","(205) 273-4294",""
"Dodge City	130 Howard Circle Hanceville, AL 35077	(256) 287-0364	https://dodgecitytown.com	dodgecityal@gmail.com","dodgecityal@gmail.com","(256) 287-0364","https://dodgecitytown.com"
"Dora	1485 Sharon Blvd. Dora, AL 35062	(205) 648-3211	www.cityofdora.com	doracityclerk@yahoo.com","doracityclerk@yahoo.com","(205) 648-3211","www.cityofdora.com"
"Dothan	P. O. Box 2128 Dothan, AL 36302	(334) 615-3160	www.dothan.org	wshiver@dothan.org","wshiver@dothan.org","(334) 615-3160","www.dothan.org"
"Double Springs	P. O. Box 279 Double Springs, AL 35553	(205) 489-5447	https://townofdoublesprings.municipalimpact.com	wcourington@double-springs.com","wcourington@double-springs.com","(205) 489-5447","https://townofdoublesprings.municipalimpact.com"
"Douglas	P. O. Box 45 Douglas, AL 35964	(256) 593-9531	www.douglasal.com	townclerk@douglasal.com","townclerk@douglasal.com","(256) 593-9531","www.douglasal.com"
"Dozier	P. O. Box 216 Dozier, AL 36028	(334) 496-3742		kdean000@centurytel.net","kdean000@centurytel.net","(334) 496-3742",""
"Dutton	P. O. Box 6 Dutton, AL 35744	(256) 228-6392		duttonto@farmerstel.com","duttonto@farmerstel.com","(256) 228-6392",""
"East Brewton	P. O. Box 2010 East Brewton, AL 36427	(251) 867-6092	www.eastbrewton.org	eastbrewton@gmail.com","eastbrewton@gmail.com","(251) 867-6092","www.eastbrewton.org"
"Eclectic	145 Main St. Eclectic, AL 36024	(334) 541-4429	www.townofeclectic.com	townclerk@townofeclectic.com","townclerk@townofeclectic.com","(334) 541-4429","www.townofeclectic.com"
"Edwardsville	P. O. Box 8 Edwardsville, AL 36261	(256) 463-8608		larry1948@aol.com","larry1948@aol.com","(256) 463-8608",""
"Elba	200 Buford St. Elba, AL 36323	(334) 897-2333	www.elbaal.gov	sbane@elbaal.gov","sbane@elbaal.gov","(334) 897-2333","www.elbaal.gov"
"Elberta	P. O. Box 277 Elberta, AL 36530	(251) 986-5995	www.townofelberta.com	townhall@townofelberta.com","townhall@townofelberta.com","(251) 986-5995","www.townofelberta.com"
"Eldridge	P. O. Box 99 Eldridge, AL 35554	(205) 924-4383		eldridgetown@yahoo.com","eldridgetown@yahoo.com","(205) 924-4383",""
"Elkmont	P. O. Box 387 Elkmont, AL 35620	(256) 732-4211		elkmontown@ardmore.net","elkmontown@ardmore.net","(256) 732-4211",""
"Elmore	P. O. Box 204 Elmore, AL 36025	(334) 514-5988	www.townofelmore.com	clerk@townofelmore.com","clerk@townofelmore.com","(334) 514-5988","www.townofelmore.com"
"Emelle	P. O. Box 97 Emelle, AL 35459	(205) 652-4385	www.emellealabama.com	roywillingham@bellsouth.net","roywillingham@bellsouth.net","(205) 652-4385","www.emellealabama.com"
"Enterprise	P. O. Box 311000 Enterprise, AL 36331	(334) 347-1211	www.enterpriseal.gov	bsweeney@enterpriseal.gov","bsweeney@enterpriseal.gov","(334) 347-1211","www.enterpriseal.gov"
"Epes	P. O. Box 127 Epes, AL 35460	(205) 652-2994	www.cityofepesalabama.com","","(205) 652-2994","www.cityofepesalabama.com"
"Eufaula	P. O. Box 219 Eufaula, AL 36072	(334) 688-2000	www.eufaulaalabama.com	jwhite@eufaulaalabama.com","jwhite@eufaulaalabama.com","(334) 688-2000","www.eufaulaalabama.com"
"Eutaw	P. O. Box 431 Eutaw, AL 35462	(205) 372-4212	EutawAL.gov	cityhall@eutawal.gov","cityhall@eutawal.gov","(205) 372-4212",""
"Eva	P. O. Box 68 Eva, AL 35621	(256) 796-7360		townofeva@bellsouth.net","townofeva@bellsouth.net","(256) 796-7360",""
"Evergreen	P. O. Box 229 Evergreen, AL 36401	(251) 578-1574	www.evergreenal.org	info@evergreenal.org","info@evergreenal.org","(251) 578-1574","www.evergreenal.org"
"Excel	P. O. Box 369 Excel, AL 36439	(251) 765-2558		townofexcel@conexuswireless.net","townofexcel@conexuswireless.net","(251) 765-2558",""
"Fairfield	4701 Gary Avenue Fairfield, AL 35064	(205) 788-2492	www.fairfieldal.us	yreynolds@fairfieldal.us","yreynolds@fairfieldal.us","(205) 788-2492","www.fairfieldal.us"
"Fairhope	P. O. Drawer 429 Fairhope, AL 36533	(251) 928-2136	www.fairhopeal.gov	lisa.hanks@fairhopeal.gov","lisa.hanks@fairhopeal.gov","(251) 928-2136","www.fairhopeal.gov"
"Fairview	7525 Al Hwy 69, N Cullman, AL 35058	(256) 796-5424		dshedd2003@yahoo.com","dshedd2003@yahoo.com","(256) 796-5424",""
"Falkville	P. O. Box 407 Falkville, AL 35622	(256) 784-5922	www.falkville.org	destes@falkville.org","destes@falkville.org","(256) 784-5922","www.falkville.org"
"Faunsdale	P. O. Box 211 Faunsdale, AL 36738	(334) 628-4871		townoffaunsdale@outlook.com","townoffaunsdale@outlook.com","(334) 628-4871",""
"Fayette	203 Temple Avenue, N. Fayette, AL 35555	(205) 932-5367	www.fayetteal.org	dsclapp97@gmail.com","dsclapp97@gmail.com","(205) 932-5367","www.fayetteal.org"
"Five Points	P. O. Box 147 Five Points, AL 36855	(334) 864-0004		clerkfivepointsalabama@gmail.com","clerkfivepointsalabama@gmail.com","(334) 864-0004",""
"Flomaton	P. O. Box 632 Flomaton, AL 36441	(251) 296-2431		cmoore@flomatonal.org","cmoore@flomatonal.org","(251) 296-2431",""
"Florala	P. O. Box 351 Florala, AL 36442	(334) 858-3612	https://www.cityofflorala.com/	cityclerk@cityofflorala.com","cityclerk@cityofflorala.com","(334) 858-3612","https://www.cityofflorala.com"
"Florence	P. O. Box 98 Florence, AL 35631	(256) 760-6678	www.florenceal.org	bleyde@florenceal.org","bleyde@florenceal.org","(256) 760-6678","www.florenceal.org"
"Foley	P. O. Box 1750 Foley, AL 36536	(251) 943-1545	www.cityoffoley.org	cwatkins@cityoffoley.org","cwatkins@cityoffoley.org","(251) 943-1545","www.cityoffoley.org"
"Forkland	P. O. Box 126 Forkland, AL 36740	(334) 289-3032		forklandclerk@gmail.com","forklandclerk@gmail.com","(334) 289-3032",""
"Fort Deposit	P. O. Box 260 Fort Deposit, AL 36032	(334) 227-4841	https://fortdeposital.gov/	mayor@fort-deposit.net","mayor@fort-deposit.net","(334) 227-4841","https://fortdeposital.gov"
"Fort Payne	100 Alabama Ave., N. Fort Payne, AL 35967	(256) 845-1524	www.fortpayne.org	bclayton@fortpayne.org","bclayton@fortpayne.org","(256) 845-1524","www.fortpayne.org"
"Franklin	1660 Alabama Hwy. 49 Tuskegee, AL 36083	(334) 727-2111		msegrest@franklinalabama.com","msegrest@franklinalabama.com","(334) 727-2111",""
"Fredonia	P. O. Box 66 Five Points, AL 36855	(706) 594-7616","","(706) 594-7616",""
"Frisco City	P. O. Box 119 Frisco City, AL 36445	(251) 267-3439		friscocityhall1@gmail.com","friscocityhall1@gmail.com","(251) 267-3439",""
"Fruithurst	P. O. Box 160 Fruithurst, AL 36262	(256) 579-2105		fruithurstalabama@gmail.com","fruithurstalabama@gmail.com","(256) 579-2105",""
"Fulton	P. O. Box 67 Fulton, AL 36446	(334) 636-9527	www.clarkecounty.com/fulton	fultonclerk@bellsouth.net","fultonclerk@bellsouth.net","(334) 636-9527","www.clarkecounty.com"
"Fultondale	P. O. Box 699 Fultondale, AL 35068	(205) 841-4481	www.fultondale.com	cityclerk@fultondaleal.gov","cityclerk@fultondaleal.gov","(205) 841-4481","www.fultondale.com"
"Fyffe	P. O. Box 8 Fyffe, AL 35971	(256) 623-7298	fyffecitylimits.com	fyffetownclerk@farmerstel.com","fyffetownclerk@farmerstel.com","(256) 623-7298",""
"Gadsden	P. O. Box 267 Gadsden, AL 35902	(256) 549-4516	cityofgadsden.com	inelson@cityofgadsden.com","inelson@cityofgadsden.com","(256) 549-4516",""
"Gainesville	P. O. Box 73 Gainesville, AL 35464	(205) 652-7551		townofgainesville@outlook.com","townofgainesville@outlook.com","(205) 652-7551",""
"Gantt	P. O. Box 8 Gantt, AL 36038	(334) 388-4786		christy.cartwright@gantttownhall.com","christy.cartwright@gantttownhall.com","(334) 388-4786",""
"Garden City	P. O. Box 172 Garden City, AL 35070	(256) 352-5408	co.cullman.al.us/municipalities/gardencity.html	clerk@gardencityal.gov","clerk@gardencityal.gov","(256) 352-5408",""
